type,directory,path,size,modified,permissions
file,"repos/projfind",".git/objects/78/ace3398d9801bc0a80237ec2026318e38704c4",129,1744179961,644
dir,"repos/projfind",".git/objects/7d/",76,1743506983,755
file,"repos/projfind",".git/objects/7d/7780c4e28213f5ee76354ca15ad9416783d0b6",395,1743506983,644
dir,"repos/projfind",".git/objects/82/",76,1744181103,755
file,"repos/projfind",".git/objects/82/8a1b129c14280e9680c8a92b8ca78af2c145ac",630,1744181103,644
dir,"repos/projfind",".git/objects/84/",76,1743418519,755
file,"repos/projfind",".git/objects/84/10702d4b6ab3d3e966c871d209767c63992531",9498,1743418513,644
dir,"repos/projfind",".git/objects/8a/",76,1744116033,755
file,"repos/projfind",".git/objects/8a/ce0e8c46098e6b98bc48c716df1ff7ddaffde7",237,1744116033,644
dir,"repos/projfind",".git/objects/8c/",76,1744179687,755
file,"repos/projfind",".git/objects/8c/6fac4133881d7433de63ccc8d454c9d352c70c",60,1744179687,644
dir,"repos/projfind",".git/objects/90/",76,1744179692,755
file,"repos/projfind",".git/objects/90/382cf5e6d9313cecf70ff0350907749f3011fe",123,1744179692,644
dir,"repos/projfind",".git/objects/91/",76,1743418522,755
file,"repos/projfind",".git/objects/91/584a5d0c9844a31a42c855d5d97321af0a1970",57,1743418518,644
dir,"repos/projfind",".git/objects/95/",76,1743418519,755
file,"repos/projfind",".git/objects/95/01598d5b1e2c3835af01ac5878b3f485a0e8ce",599,1743504800,644
dir,"repos/projfind",".git/objects/97/",76,1744179687,755
file,"repos/projfind",".git/objects/97/ce6af6b7288bf6c0c35e92b8a60e288c06e4eb",57,1744179687,644
dir,"repos/projfind",".git/objects/a1/",76,1744179687,755
file,"repos/projfind",".git/objects/a1/7d7eb9ddb5d5ea8a19cd3c548a336663b7a945",474,1744179687,644
dir,"repos/projfind",".git/objects/ae/",76,1744179687,755
file,"repos/projfind",".git/objects/ae/92f72fbfb1062774e6a9591f267bdf6682d68b",1939,1744179687,644
dir,"repos/projfind",".git/objects/b4/",76,1743418539,755
file,"repos/projfind",".git/objects/b4/d0c988cbd01c9e231a085662930d31882626ec",396,1743418533,644
dir,"repos/projfind",".git/objects/b5/",76,1743506982,755
file,"repos/projfind",".git/objects/b5/6c2b2f4967e3f8d2bef13e76850e8613053ea4",124,1743506982,644
dir,"repos/projfind",".git/objects/ba/",76,1744179961,755
file,"repos/projfind",".git/objects/ba/b6a0d8843039159b276b7ebf633ec285995827",123,1744179961,644
dir,"repos/projfind",".git/objects/bc/",76,1744179961,755
file,"repos/projfind",".git/objects/bc/593dcfe2e70f8302bc92993ef25b963cfbba37",148,1744179961,644
dir,"repos/projfind",".git/objects/c0/",76,1743506983,755
file,"repos/projfind",".git/objects/c0/6f1f28de5dddabc5ef30e64ec419be7452c3d8",148,1743506983,644
dir,"repos/projfind",".git/objects/c1/",76,1744179810,755
file,"repos/projfind",".git/objects/c1/e568aa3fd7cdb7a8562bd4b8c517fe0062cb69",179,1744179810,644
dir,"repos/projfind",".git/objects/c3/",76,1744179961,755
file,"repos/projfind",".git/objects/c3/f760f421c863a263954f2eafb65539386385e7",461,1744179961,644
dir,"repos/projfind",".git/objects/ca/",76,1743504800,755
file,"repos/projfind",".git/objects/ca/510ddce02185e0ed0522c50bd29135357c5db8",1918,1743504800,644
dir,"repos/projfind",".git/objects/cd/",76,1744181103,755
file,"repos/projfind",".git/objects/cd/3057edd1d0279a4d20f0e052d615a5aeb45211",649,1744181103,644
dir,"repos/projfind",".git/objects/d8/",76,1743504801,755
file,"repos/projfind",".git/objects/d8/91e1a4d17a9436477a8512c917066216838091",57,1743504801,644
dir,"repos/projfind",".git/objects/da/",76,1744179961,755
